DCHP3A,DCHP4A,DCHP4HRT,DCHP4HST,DCHPP3A,DCHPP4A,DCHWRNT,DCHWRT,DCHWSNF,DCHWSNT,DCHWSSF,DCHWSST,DCHWST,DCHWST2,DCRF1HRV,DCRF3HRV,DCHWDPL,DCHWDPS,DCHWP1RT,DCHWP1SP,DCHWP2RT,DCHWP2SP,DCHWSHON,DCHWNHON,DCHWP1SS,DCHWP2SS,DCHWRV,DCHWSNV,DCHWSSV,DCHWSV,DCRF1HSV,DCRF3HSV,DCHWEN,DCHWDP
-0.465,-0.96751,81.221,100.66,2.1825,-0.79501,79.172,102.51,0.062328,85.965,0.12499,84.672,84.04,87.562,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,81.221,100.66,2.1825,-0.79501,79.172,102.51,0.062328,85.965,0.12499,84.672,84.04,87.562,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,81.221,100.66,2.1825,-0.79501,79.172,102.51,0.062328,85.965,0.12499,84.672,84.04,87.437,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,81.221,100.54,2.1825,-0.79501,79.172,102.51,0.062328,85.965,0.12499,84.672,84.04,87.312,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,81.221,100.44,2.1825,-0.79501,79.172,102.51,0.062328,85.965,0.12499,84.672,84.04,87.212,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,80.203,100.32,2.1825,-0.79501,79.172,102.51,0.062328,85.965,0.12499,84.672,84.04,86.975,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,80.203,100.2,2.1825,-0.79501,79.172,102.51,0.062328,85.965,0.12499,83.668,84.04,86.85,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,80.203,100.09,2.1825,-0.79501,79.172,102.51,0.062328,84.961,0.12499,83.668,84.04,86.737,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,79.186,99.975,2.1825,-0.79501,79.172,101.5,0.062328,84.961,0.12499,83.668,83.036,86.625,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,79.186,99.85,2.1825,-0.79501,79.172,101.5,0.062328,84.961,0.12499,83.668,83.036,86.375,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,79.186,99.737,2.1825,-0.79501,79.172,101.5,0.062328,84.961,0.12499,83.668,83.036,86.275,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,79.186,99.737,2.1825,-0.79501,79.172,101.5,0.062328,84.961,0.12499,83.668,83.036,86.15,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,78.182,99.612,2.1825,-0.79501,79.172,101.5,0.062328,84.961,0.12499,83.668,83.036,85.95,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,78.182,99.475,2.1825,-0.79501,79.172,101.5,0.062328,84.961,0.12499,83.668,83.036,85.837,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,78.182,99.362,2.1825,-0.79501,79.172,101.5,0.062328,83.957,0.12499,83.668,83.036,85.712,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,78.182,99.362,2.1825,-0.79501,79.172,101.5,0.062328,83.957,0.12499,83.668,83.036,85.587,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,77.165,99.237,2.1825,-0.79501,78.168,101.5,0.062328,83.957,0.12499,83.668,83.036,85.475,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,77.165,99.125,2.1825,-0.79501,78.168,101.5,0.062328,83.957,0.12499,82.651,83.036,85.362,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,77.165,99.012,2.1825,-0.79501,78.168,100.5,0.062328,83.957,0.12499,82.651,83.036,85.137,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,77.165,98.9,2.1825,-0.79501,78.168,100.5,0.062328,83.957,0.12499,82.651,82.032,85.025,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,77.165,98.9,2.1825,-0.79501,78.168,100.5,0.062328,83.957,0.12499,82.651,82.032,84.925,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,76.161,98.787,2.1825,-0.79501,78.168,100.5,0.062328,83.957,0.12499,82.651,82.032,84.8,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
